amenity_name
"65 inch HDTV with Netflix, HBO Max, Amazon Prime Video, standard cable"
Air conditioning
BBQ grill
Baby safety gates
Babysitter recommendations
Backyard
Baking sheet
Barbecue utensils
Bathtub
Beach essentials
Bed linens
Board games
Body soap
Breakfast
Building staff
Cable TV
Carbon monoxide alarm
Ceiling fan
Children’s books and toys
Cleaning products
Clothing storage: closet and dresser
Coffee maker
Conditioner
Cooking basics
Crib
Dedicated workspace
Dining table
Dishes and silverware
Dishwasher
Dryer
Electric stove
Elevator
Essentials
Ethernet connection
Extra pillows and blankets
Fire extinguisher
First aid kit
Free parking on premises
Free street parking
Freezer
Hair dryer
Hangers
Heating
Host greets you
Hot tub
Hot water
Indoor fireplace
Iron
Keurig coffee machine
Keypad
Kitchen
Lake access
Laundromat nearby
Lock on bedroom door
Lockbox
Long term stays allowed
Luggage dropoff allowed
Microwave
Outdoor dining area
Outdoor furniture
Oven
Pack ’n Play/travel crib
Paid parking off premises
Paid parking on premises
Patio or balcony
Portable fans
Private entrance
Refrigerator
Room-darkening shades
Security cameras on property
Shampoo
Shower gel
Smoke alarm
Sound system
Stove
TV
TV with standard cable
Toaster
Washer
Wifi
Wine glasses
